epoch,step,train_acc,train_loss
0,49,0.7265625,0.8735942840576172
0,99,0.8828125,0.43384140729904175
0,149,0.859375,0.3908606767654419
0,199,0.9296875,0.26830750703811646
0,249,0.9375,0.2452743500471115
0,299,0.8984375,0.29150843620300293
0,349,0.9765625,0.11333051323890686
0,399,0.96875,0.12701164186000824
0,449,0.9375,0.1488448828458786
1,499,0.953125,0.14843225479125977
1,549,0.96875,0.13104748725891113
1,599,0.9609375,0.13244226574897766
1,649,0.9453125,0.16315627098083496
1,699,0.9765625,0.09177203476428986
1,749,0.9609375,0.11776503175497055
1,799,0.96875,0.10012621432542801
1,849,0.96875,0.10164666175842285
1,899,0.9375,0.1979333758354187
2,949,0.984375,0.07890304923057556
2,999,0.953125,0.17160171270370483
2,1049,0.984375,0.049186162650585175
2,1099,0.984375,0.07662636041641235
2,1149,1.0,0.030694447457790375
2,1199,0.9765625,0.07701459527015686
2,1249,0.96875,0.2087841033935547
2,1299,0.953125,0.1405428647994995
2,1349,0.9921875,0.03572734072804451
2,1399,0.984375,0.041965484619140625
3,1449,0.96875,0.08081234991550446
3,1499,0.96875,0.061892252415418625
3,1549,0.984375,0.0595373809337616
3,1599,1.0,0.027133818715810776
3,1649,0.984375,0.043980251997709274
3,1699,0.96875,0.12542222440242767
3,1749,0.984375,0.04449760168790817
3,1799,0.953125,0.12288416922092438
3,1849,0.9921875,0.06966604292392731
4,1899,0.96875,0.11051055043935776
4,1949,0.984375,0.0469125360250473
4,1999,0.9609375,0.09836103022098541
4,2049,0.9609375,0.1038353443145752
4,2099,0.9609375,0.11721928417682648
4,2149,0.96875,0.09169457107782364
4,2199,0.9765625,0.11720908433198929
4,2249,0.9609375,0.09232044219970703
4,2299,0.9921875,0.05882494896650314
5,2349,0.9921875,0.024203533306717873
5,2399,1.0,0.0165611132979393
5,2449,0.984375,0.030616629868745804
5,2499,0.9375,0.12892761826515198
5,2549,0.984375,0.02413099817931652
5,2599,0.9921875,0.03436783701181412
5,2649,0.984375,0.05870647355914116
5,2699,0.9765625,0.06641902029514313
5,2749,0.9921875,0.022238466888666153
5,2799,0.9765625,0.06780759245157242
6,2849,1.0,0.012063652276992798
6,2899,0.984375,0.027579188346862793
6,2949,1.0,0.012416169047355652
6,2999,0.96875,0.05167761445045471
6,3049,0.984375,0.10741940140724182
6,3099,0.9921875,0.020886756479740143
6,3149,0.9921875,0.032988354563713074
6,3199,0.9765625,0.12426164746284485
6,3249,0.984375,0.04380622133612633
7,3299,0.9765625,0.04734720662236214
7,3349,0.96875,0.12069787830114365
7,3399,0.984375,0.03246226906776428
7,3449,0.984375,0.08990336954593658
7,3499,0.984375,0.04302991181612015
7,3549,0.984375,0.03480037301778793
7,3599,1.0,0.011722972616553307
7,3649,1.0,0.017847729846835136
7,3699,0.984375,0.033594757318496704
7,3749,0.9765625,0.105631023645401
8,3799,0.96875,0.08831028640270233
8,3849,0.984375,0.030691714957356453
8,3899,0.984375,0.0503825843334198
8,3949,1.0,0.007908648811280727
8,3999,0.9921875,0.023241326212882996
8,4049,1.0,0.01607588492333889
8,4099,0.984375,0.04978560656309128
8,4149,0.96875,0.09477653354406357
8,4199,0.9765625,0.12782298028469086
9,4249,1.0,0.011776612140238285
9,4299,0.984375,0.04094362258911133
9,4349,0.984375,0.0599784217774868
9,4399,0.984375,0.02874862030148506
9,4449,0.9921875,0.018421409651637077
9,4499,0.9921875,0.022500375285744667
9,4549,0.9765625,0.07965770363807678
9,4599,1.0,0.016854282468557358
9,4649,0.9921875,0.015036902390420437
